algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,c1,c2,w,error
generic,11,101,8186.6,780256.4750000004,7802.564750000004,1528.5623321533203,4047,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,202,8193.7,781039.75,7810.3975,1488.5136964321136,3997,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,303,8156.85,781603.5999999999,7816.035999999998,1490.3717427253723,3960,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,404,8123.95,772202.6000000001,7722.026000000001,1487.7244272232056,3966,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,505,8151.35,783033.0499999998,7830.330499999998,1749.117377281189,3877,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,606,8117.4,776747.7750000003,7767.477750000003,1769.3749618530273,3951,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,12,101,7966.9,778503.8250000008,7785.038250000008,3386.127420425415,6385,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,202,7862.8,765115.5500000002,7651.155500000002,3401.117022037506,6349,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,303,8032.95,774414.5999999995,7744.145999999995,3019.1491487026215,6326,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,404,7948.7,767220.0249999996,7672.200249999995,3007.1762681007385,6414,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,505,8074.75,779815.3500000006,7798.153500000006,2915.6716656684875,6484,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,606,8072.65,779421.7500000007,7794.217500000007,3044.078410387039,6453,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,13,101,7624.8,746449.1750000012,7464.491750000012,2106.835290670395,3771,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,202,7546.8,746617.2500000012,7466.1725000000115,2052.6972455978394,3628,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
