algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
baseline,1043,909,438.65,43855.17500000008,438.5517500000008,121.41508316993713,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,3.0,,,,,True,,,,
baseline,1044,1001,438.65,43851.27500000009,438.5127500000009,118.25443148612976,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,101,438.65,43858.850000000086,438.58850000000086,118.36239337921143,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,1102,438.65,43858.47500000008,438.5847500000008,119.3279938697815,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,202,438.65,43859.67500000008,438.59675000000084,123.11693048477173,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,303,438.65,43854.27500000008,438.5427500000008,120.80764603614807,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,404,438.65,43859.82500000008,438.59825000000075,121.29677677154541,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,505,438.65,43862.90000000008,438.6290000000008,120.81110000610352,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,606,438.65,43855.92500000008,438.5592500000008,122.01570320129395,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,707,438.65,43853.52500000009,438.5352500000009,121.22105813026428,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,808,438.65,43858.02500000008,438.58025000000083,119.92748475074768,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1044,909,438.65,43859.37500000008,438.5937500000008,121.33246803283691,2122,False,None,,,,,0.175,0.08,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,1001,438.65,43856.225000000086,438.56225000000086,120.9883463382721,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,101,438.65,43854.50000000009,438.54500000000087,122.13387870788574,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,1102,438.65,43847.0750000001,438.470750000001,120.48883605003357,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,202,438.65,43850.52500000009,438.5052500000009,123.50347566604614,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,303,438.65,43850.67500000009,438.5067500000009,121.53418707847595,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,404,438.65,43859.075000000084,438.59075000000087,121.3339433670044,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,505,438.65,43862.00000000008,438.6200000000008,123.43212127685547,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,606,438.65,43847.525000000074,438.47525000000076,122.13412165641785,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,707,438.65,43856.22500000008,438.5622500000008,121.63303637504578,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,808,438.65,43849.77500000008,438.4977500000008,120.34871578216553,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1056,909,438.65,43857.87500000009,438.57875000000087,120.6368145942688,2122,False,None,,,,,0.175,0.15,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,1001,438.65,43854.725000000086,438.5472500000009,121.16042876243591,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,101,438.65,43857.50000000008,438.5750000000008,122.25800609588623,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,1102,438.65,43854.725000000086,438.5472500000009,120.65799355506897,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,202,438.65,43848.42500000009,438.4842500000009,120.84139156341553,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,303,438.65,43844.37500000002,438.4437500000002,121.16016221046448,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,404,438.65,43859.22500000008,438.5922500000008,121.6967921257019,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,505,438.65,43849.85000000008,438.4985000000008,121.63609194755554,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,606,438.65,43846.92500000007,438.46925000000067,122.02604603767395,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,707,438.65,43854.12500000009,438.5412500000009,121.01921343803406,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,808,438.65,43850.975000000086,438.50975000000085,121.27490472793579,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1059,909,438.65,43852.02500000005,438.52025000000054,122.16385102272034,2122,False,None,,,,,0.175,0.175,0.0,0.0,,,5.0,,,,,True,,,,
baseline,106,1001,438.65,43846.47500000008,438.4647500000008,116.61410307884216,2122,False,None,,,,,0.0075,0.135,0.0,0.0,,,2.0,,,,,True,,,,
baseline,106,101,438.65,43849.850000000086,438.49850000000083,115.85423445701599,2122,False,None,,,,,0.0075,0.135,0.0,0.0,,,2.0,,,,,True,,,,
