generation,best_fitness_evader,best_fitness_auditor,mean_fitness_evader,std_fitness_evader,mean_fitness_auditor,std_fitness_auditor,best_evader_genome,best_auditor_genome
0,0.6365236507629244,-0.2879140918826939,0.4832795209939422,0.08094745850902949,-0.3222581258541253,0.015245292688757253,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[2, 3, 14, 5, 8, 1, 23, 6, 17, 8, 10, 3, 21, 15, 21, 13, 14, 18, 10, 1]"
1,0.612376074480637,-0.4213212963869551,0.5245119340771545,0.04110696778731448,-0.4469733320908618,0.010868373723459956,"[1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[2, 3, 14, 5, 8, 1, 23, 6, 5, 9, 2, 3, 21, 15, 21, 13, 14, 18, 10, 1]"
2,0.6723413434007591,-0.4432290900312906,0.5509614871003332,0.03552244503461576,-0.49685341336449085,0.014982360692612206,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[11, 2, 24, 18, 0, 6, 24, 4, 8, 20, 6, 11, 6, 3, 13, 15, 8, 4, 11, 10]"
3,0.6742602043648931,-0.47721054307950694,0.5671568745218124,0.029567666699031263,-0.5252803553945191,0.01696267889407428,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[11, 2, 24, 18, 0, 6, 24, 4, 8, 20, 6, 11, 6, 3, 13, 15, 8, 4, 11, 10]"
4,0.7389199304699509,-0.49737300578372107,0.582784082123456,0.04273278838755796,-0.5382743385997578,0.017465185837346495,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 10, 4, 6, 24, 4, 8, 20, 6, 11, 6, 3, 13, 15, 8, 4, 11, 10]"
5,0.7297118208624466,-0.5130548961740399,0.6026863010462687,0.05928885242631794,-0.5479862586106409,0.014105372263693315,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[16, 21, 22, 8, 8, 1, 23, 6, 5, 4, 2, 4, 5, 14, 17, 1, 7, 2, 19, 1]"
6,0.7168961317687597,-0.5277911125780608,0.6384142899324252,0.0678211035015767,-0.5654133364100593,0.014017340652036109,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 16, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
7,0.7067175013873147,-0.5548968408821109,0.6773837826083109,0.048331896575562125,-0.5959932637766197,0.018557546656935313,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 16, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
8,0.69594718005621,-0.6054149980881252,0.6907090939071898,0.006116796554653774,-0.6382818952267665,0.019728624818608775,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 16, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
9,0.6761757786780646,-0.6204536561570372,0.6725889155806242,0.0014504275331617357,-0.6455242703371417,0.016845100792310306,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 16, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
10,0.6582536220809604,-0.6340625059661043,0.6563794389681878,0.0011411418527111684,-0.6397177182267451,0.0057392699527704545,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 16, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
11,0.6440727271236071,-0.6223889170772144,0.6424900902209474,0.0007582435709148169,-0.6356665413261361,0.0026946344797671774,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
12,0.641714001021682,-0.6171412515930333,0.6407653721443077,0.0006928971924696726,-0.6297428177338895,0.0047981817215674155,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
13,0.6426578284589948,-0.6115445497706627,0.6407339087167174,0.0012716784721434377,-0.6282153925608562,0.005946763952683702,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
14,0.639391880288195,-0.6149516948384968,0.6379701423624744,0.0007532355576770906,-0.6261817036526796,0.006385674171361912,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
15,0.6357091369063975,-0.6057730880147012,0.6343259669414677,0.0006602962758921094,-0.6169093813278088,0.007214841144987804,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[11, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
16,0.6312063659353333,-0.6182479864892065,0.629481448731693,0.0007135551287573946,-0.6216784932477206,0.0035377048024550135,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[16, 2, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 1, 1]"
17,0.624443219736569,-0.6198019364118622,0.6235897704590285,0.0003210089091746026,-0.6211565841421559,0.0012826576203703222,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[11, 22, 24, 5, 8, 1, 7, 7, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
18,0.6253267091648156,-0.6066497123073913,0.6240181591553831,0.0009002371774460605,-0.6151032634198578,0.003950045907533885,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 8, 10]"
19,0.6232795853507115,-0.604443140887101,0.6226382764621822,0.00033190853455908445,-0.6166721350242431,0.004431520372166404,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 8, 10]"
20,0.6247507144115302,-0.597943278355241,0.6230173310010336,0.0010573673992986306,-0.615183887036282,0.006054888687317551,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 8, 10]"
21,0.6216788172287574,-0.5945285080034222,0.6203246454108937,0.0006855311236808894,-0.6098933389143503,0.007432967391357625,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 4, 2, 4, 5, 1, 23, 15, 8, 4, 8, 10]"
22,0.6177153239017623,-0.5965390479016112,0.61594944174444,0.0008766830241914332,-0.6062738775482054,0.006369773671881692,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 0, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
23,0.6118169965177069,-0.5914613830140681,0.6105901936493485,0.000724504594936139,-0.601415431839868,0.004572822510047577,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 0, 2, 4, 5, 1, 23, 15, 8, 4, 11, 10]"
24,0.6092281509358181,-0.5889457917357719,0.6072088335126822,0.0011830329878987106,-0.5956430605610539,0.004766379988261424,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[11, 2, 24, 5, 8, 1, 7, 0, 2, 4, 2, 4, 2, 1, 23, 15, 8, 4, 11, 10]"
