generation,best_fitness_evader,best_fitness_auditor,mean_fitness_evader,std_fitness_evader,mean_fitness_auditor,std_fitness_auditor,best_evader_genome,best_auditor_genome
92,0.6367488251912036,-0.570880931302417,0.6302014212867177,0.004679689738964276,-0.5910756774942802,0.01660326370454204,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[8, 8, 25, 1, 11, 0, 0, 8, 10, 2, 4, 1, 13, 0, 24, 7, 9, 10, 4, 8]"
93,0.6338874698346955,-0.6097619401075984,0.6305088525301568,0.003639225212000514,-0.6163285415732103,0.0036050479173731784,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1]","[8, 8, 25, 1, 11, 0, 2, 8, 4, 2, 4, 1, 13, 0, 25, 7, 9, 2, 4, 8]"
94,0.6225452683466244,-0.597970707972554,0.618714675929151,0.0022663270894202796,-0.6065141113928372,0.0063779105639520895,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 4, 2, 4, 1, 13, 0, 25, 7, 9, 2, 4, 8]"
95,0.6286896405071494,-0.5884649896491524,0.622230102837612,0.0036989340157235957,-0.602856001689344,0.004995856933879749,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 1, 2, 4, 1, 6, 0, 25, 7, 9, 2, 4, 8]"
96,0.6263204580865029,-0.5779377204805097,0.6228145689599851,0.0034826834031599363,-0.6054359107417706,0.008617830513947622,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 1, 2, 4, 1, 6, 0, 25, 7, 9, 2, 4, 8]"
97,0.6293139194376145,-0.5761254317035657,0.6190078322058683,0.01593800099396085,-0.5879807459338359,0.011431579849769153,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[8, 8, 25, 1, 11, 0, 2, 8, 4, 2, 4, 1, 13, 0, 25, 7, 9, 2, 4, 8]"
98,0.6204660751174325,-0.5239443495610541,0.6170096263503926,0.007085373392149903,-0.5497501982080758,0.019599327743611547,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 1, 1, 4, 1, 6, 0, 25, 7, 7, 2, 4, 8]"
99,0.6171381311023965,-0.567249173970154,0.6111351012243945,0.0032832100752503935,-0.5885035247629854,0.010101251516772849,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[8, 21, 25, 1, 13, 0, 2, 8, 4, 2, 4, 1, 13, 0, 24, 7, 9, 10, 4, 8]"
100,0.6214911219859408,-0.552091223820637,0.6115936038647364,0.007213794281868125,-0.5746025348262596,0.01523823070356896,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 1, 1, 4, 1, 6, 0, 25, 7, 7, 2, 4, 8]"
101,0.6089557218727092,-0.5319720845511566,0.6031148134797137,0.005509182581437082,-0.5634951940363312,0.021890382849333475,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[8, 15, 25, 1, 11, 0, 0, 8, 1, 1, 4, 1, 6, 0, 25, 7, 8, 2, 4, 8]"
