algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
micro,10167,808,438.65,43852.02500000009,438.5202500000009,225.3586449623108,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,909,438.65,43849.17500000008,438.4917500000008,226.94368815422058,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,104500,1001,438.65,43859.37500000008,438.5937500000008,236.91094374656677,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,101,438.65,43858.85000000008,438.5885000000008,236.6388556957245,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,1102,438.65,43860.87500000008,438.6087500000008,235.84802174568176,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,202,438.65,43862.52500000008,438.6252500000008,234.98521780967712,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,303,438.65,43858.77500000008,438.5877500000008,235.3900740146637,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,404,438.65,43862.22500000008,438.6222500000008,236.97225785255432,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,505,438.65,43860.35000000008,438.6035000000008,246.8349871635437,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,606,438.65,43856.52500000008,438.5652500000008,241.65390872955322,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,707,438.65,43858.175000000076,438.58175000000074,242.35648393630981,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,808,438.65,43860.12500000008,438.6012500000008,242.8913812637329,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,909,438.65,43859.37500000008,438.5937500000008,244.36657667160034,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104827,1001,438.65,43857.87500000008,438.5787500000008,227.7953782081604,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,101,438.65,43860.50000000008,438.6050000000008,230.14638209342957,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,1102,438.65,43858.92500000008,438.58925000000085,229.52831149101257,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,202,438.65,43859.07500000008,438.59075000000075,233.23592162132263,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,303,438.65,43858.92500000008,438.58925000000085,229.5439145565033,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,404,438.65,43858.77500000008,438.5877500000008,232.15535259246826,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,505,438.65,43859.00000000008,438.5900000000008,230.75821137428284,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,606,438.65,43856.97500000008,438.5697500000008,232.79487466812134,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,707,438.65,43858.02500000008,438.58025000000083,227.5580039024353,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,808,438.65,43859.52500000008,438.5952500000008,228.38978791236877,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,104827,909,438.65,43861.17500000008,438.6117500000008,229.06101894378662,2122,False,None,,,,,0.08,0.035,0.0,1.0,0.7,0.5,3.0,,,,,True,,,,
micro,10504,1001,438.65,43861.77500000008,438.6177500000008,222.58008360862732,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,101,438.65,43862.15000000008,438.6215000000008,227.08005237579346,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,1102,438.65,43854.87500000009,438.5487500000009,227.99408721923828,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,202,438.65,43850.6750000001,438.506750000001,226.36695289611816,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,303,438.65,43859.67500000008,438.59675000000084,225.41696166992188,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,404,438.65,43856.52500000008,438.5652500000008,224.69386529922485,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,505,438.65,43862.00000000008,438.6200000000008,224.5334963798523,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,606,438.65,43847.225000000086,438.4722500000009,225.03535771369934,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,707,438.65,43859.22500000008,438.5922500000008,225.04744791984558,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,808,438.65,43860.57500000008,438.6057500000008,229.21983814239502,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,10504,909,438.65,43855.62500000009,438.5562500000009,224.6935477256775,2122,False,None,,,,,0.175,0.005,0.0,1.0,0.05,0.4,5.0,,,,,True,,,,
micro,105326,1001,438.65,43859.97500000008,438.59975000000077,199.34799575805664,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,101,438.65,43857.95000000008,438.5795000000008,225.55538940429688,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,1102,438.65,43859.37500000008,438.5937500000008,175.53583431243896,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,202,438.65,43858.77500000008,438.5877500000008,226.20209741592407,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,303,438.65,43858.77500000008,438.5877500000008,228.6831066608429,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,404,438.65,43860.87500000008,438.6087500000008,225.10226488113403,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,505,438.65,43858.25000000008,438.5825000000008,231.56322693824768,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,606,438.65,43853.975000000086,438.5397500000009,218.1368601322174,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,707,438.65,43857.42500000008,438.5742500000008,216.13274812698364,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,808,438.65,43859.37500000008,438.5937500000008,213.3715431690216,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,105326,909,438.65,43858.77500000008,438.5877500000008,202.18575859069824,2122,False,None,,,,,0.175,0.01,0.0,1.0,0.7,0.5,2.0,,,,,True,,,,
micro,13832,1001,438.65,43844.225000000035,438.44225000000034,227.9357042312622,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,101,438.65,43844.900000000096,438.449000000001,231.004784822464,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,1102,438.65,43856.825000000084,438.56825000000083,225.6056568622589,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,202,438.65,43856.37500000009,438.5637500000009,231.61568236351013,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,303,438.65,43849.77500000009,438.4977500000009,225.95914340019226,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,404,438.65,43854.57500000008,438.5457500000008,227.77270817756653,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
micro,13832,505,438.65,43852.400000000074,438.52400000000074,229.553936958313,2122,False,None,,,,,0.025,0.15,0.0,1.0,0.05,0.7,3.0,,,,,True,,,,
