algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,c1,c2,w,error
generic,21,101,7823.2,771007.1249999988,7710.071249999988,1450.5539169311523,5532,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,21,202,7888.85,775227.1749999991,7752.271749999991,1479.2783470153809,5576,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,21,303,7881.65,766252.5499999997,7662.525499999997,1422.9311828613281,5460,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,21,404,7810.5,761797.6249999994,7617.976249999994,1420.4962491989136,5528,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,21,505,7837.05,768832.5500000013,7688.325500000014,1384.6700580120087,5324,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,21,606,7836.05,773972.6000000013,7739.726000000012,1414.8221056461334,5409,False,None,0.4707630398180561,0.13284859153636236,0.11707344925688432,,,,,,,
generic,22,101,8256.55,788298.35,7882.983499999999,2291.618480682373,8698,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,22,202,8227.5,784642.8000000002,7846.428000000002,2297.920394420624,8662,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,22,303,8223.3,786106.8750000006,7861.068750000006,2255.3572413921356,8621,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,22,404,8159.15,788886.7499999999,7888.8674999999985,2266.922626018524,8642,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,22,505,8118.25,780948.2999999999,7809.482999999999,2252.791850566864,8586,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,22,606,8226.5,792479.9749999996,7924.7997499999965,2305.8838365077972,8651,False,None,0.7409950818206213,0.43772546737479134,0.12104986465008055,,,,,,,
generic,23,101,7857.2,759207.1249999998,7592.071249999997,690.6889183521271,2679,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,23,202,7903.5,758679.4000000001,7586.794000000002,683.9625904560089,2632,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,23,303,7863.45,756740.2999999996,7567.402999999996,679.7426195144653,2633,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,23,404,7938.95,764886.2,7648.861999999999,706.0704519748688,2707,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,23,505,7826.55,762907.1000000002,7629.071000000002,706.6647651195526,2703,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,23,606,7869.95,762574.1999999994,7625.741999999994,695.5251693725586,2624,False,None,0.20965122610055964,0.05861598178414248,0.04412105425943274,,,,,,,
generic,24,101,8111.55,781931.9500000004,7819.319500000004,1737.0767877101898,6675,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,24,202,8044.95,778809.7750000005,7788.097750000004,1743.1408274173737,6700,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,24,303,8121.8,774580.8249999998,7745.808249999998,1742.4054222106934,6660,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,24,404,8131.35,782864.85,7828.648499999999,1784.0207879543304,6707,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,24,505,8068.1,780894.1749999996,7808.941749999995,1726.1647851467133,6633,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,24,606,8083.55,779692.2999999997,7796.922999999997,1744.636742591858,6666,False,None,0.37016642100441893,0.45556911769658115,0.09476018876581101,,,,,,,
generic,25,101,7678.1,750248.3750000001,7502.483750000001,721.3691968917847,2789,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,25,202,7450.05,736046.4750000013,7360.464750000013,749.6718382835388,2889,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,25,303,7446.7,735527.9249999991,7355.279249999991,754.2611904144287,2911,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,25,404,7512.2,745203.3249999996,7452.033249999996,752.3744804859161,2873,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,25,505,7537.9,745797.3750000008,7457.973750000008,735.8277115821838,2875,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,25,606,7502.25,739844.8499999999,7398.448499999999,735.7301650047302,2849,False,None,0.03901193444748749,0.24958270275132294,0.17984007504118743,,,,,,,
generic,26,101,7967.6,775211.3250000009,7752.1132500000085,1406.5801484584808,5383,False,None,0.41658951653802445,0.18893104016712478,0.11494007769066343,,,,,,,
generic,26,202,7815.6,768810.3499999992,7688.103499999992,1407.7708835601807,5310,False,None,0.41658951653802445,0.18893104016712478,0.11494007769066343,,,,,,,
