algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,c1,c2,w,error
generic,10,1001,438.65,43858.17500000008,438.58175000000085,57.75077676773071,1449,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,101,438.65,43856.075000000084,438.56075000000084,57.13893938064575,1470,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,1102,438.65,43853.00000000009,438.5300000000009,57.213770389556885,1466,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,202,438.65,43849.17500000008,438.4917500000008,59.697065353393555,1471,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,303,438.65,43844.90000000009,438.44900000000086,59.463319301605225,1483,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,404,438.65,43854.575000000084,438.54575000000085,60.85275673866272,1464,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,505,438.65,43854.42500000008,438.54425000000083,60.04247522354126,1470,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,606,438.65,43854.50000000009,438.54500000000087,55.44878554344177,1455,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,707,438.65,43853.15000000008,438.5315000000008,56.71637749671936,1458,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,808,438.65,43854.12500000009,438.5412500000009,59.39477300643921,1463,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,10,909,438.65,43848.12500000008,438.4812500000008,62.311333417892456,1482,False,None,0.4259253744038022,0.3984521924599596,0.12822493162503615,,,,,,,
generic,11,1001,438.65,43855.62500000009,438.5562500000009,36.181487798690796,883,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,101,438.65,43843.62500000008,438.4362500000008,32.64525771141052,869,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,1102,438.65,43839.65000000008,438.3965000000008,35.87095928192139,908,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,202,438.65,43848.72500000009,438.4872500000009,34.306968450546265,902,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,303,438.65,43836.20000000008,438.36200000000076,31.7896409034729,891,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,404,438.65,43846.02500000009,438.4602500000009,28.67244553565979,812,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,505,438.65,43852.475000000086,438.52475000000084,33.76271295547485,917,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,606,438.65,43844.15000000008,438.4415000000008,33.49016737937927,914,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,707,438.65,43843.700000000084,438.43700000000086,36.211548805236816,876,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,808,438.65,43856.975000000086,438.56975000000085,36.91004157066345,893,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,11,909,438.65,43849.475000000086,438.49475000000086,37.024405002593994,869,False,None,0.12453607819522974,0.3009161026135077,0.03645559136188683,,,,,,,
generic,12,1001,438.65,43855.475000000086,438.55475000000087,68.22951531410217,1378,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,101,438.65,43854.42500000008,438.54425000000083,64.25408720970154,1374,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,1102,438.65,43860.35000000008,438.6035000000008,66.81518411636353,1395,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,202,438.65,43852.92500000008,438.52925000000084,67.54135751724243,1421,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,303,438.65,43853.90000000009,438.5390000000009,65.71216821670532,1417,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,404,438.65,43855.77500000008,438.5577500000008,66.53242611885071,1421,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,505,438.65,43847.825000000084,438.47825000000086,60.40078663825989,1433,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,606,438.65,43851.50000000009,438.5150000000009,62.44329595565796,1405,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,707,438.65,43848.200000000084,438.4820000000008,62.2342414855957,1431,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,808,438.65,43855.325000000084,438.55325000000084,70.61415648460388,1421,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,12,909,438.65,43856.37500000008,438.5637500000008,67.55248808860779,1376,False,None,0.2979980642611269,0.47176268759631734,0.13032984911962772,,,,,,,
generic,13,1001,438.65,43830.725,438.30725,47.80261516571045,893,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,101,437.75,43725.12499999998,437.2512499999998,37.81138610839844,841,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,1102,438.35,43818.64999999992,438.1864999999992,42.937920331954956,812,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,202,438.35,43775.375,437.75375,37.822105169296265,851,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,303,438.65,43844.75000000008,438.4475000000008,35.64526724815369,799,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,404,438.35,43802.07499999991,438.0207499999991,39.28499507904053,847,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,505,438.65,43844.97500000002,438.4497500000002,36.00802183151245,811,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,606,438.65,43801.400000000074,438.01400000000075,44.32907271385193,797,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,707,438.5,43764.57499999997,437.6457499999997,42.40990614891052,766,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,808,438.65,43813.62499999996,438.1362499999996,46.941169023513794,827,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,13,909,438.5,43794.49999999993,437.94499999999925,46.95691895484924,862,False,None,0.3430247584496492,0.030119724920087763,0.1341057221638434,,,,,,,
generic,14,1001,438.65,43854.12500000009,438.5412500000009,68.77324271202087,1397,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,101,438.65,43855.17500000009,438.5517500000009,69.77120876312256,1445,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,1102,438.65,43855.850000000086,438.55850000000083,78.17105889320374,1386,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,202,438.65,43839.275000000074,438.3927500000007,64.73376846313477,1372,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,303,438.65,43850.90000000008,438.5090000000008,57.69910955429077,1391,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,404,438.5,43841.15,438.4115,57.67965602874756,1388,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,505,438.65,43842.42500000009,438.4242500000009,56.14649939537048,1416,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,606,438.35,43815.799999999894,438.15799999999894,57.330374002456665,1375,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,707,438.65,43844.60000000006,438.4460000000006,55.43187141418457,1393,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,808,438.65,43852.02500000008,438.52025000000083,55.826009035110474,1398,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,14,909,438.65,43829.52500000008,438.2952500000008,64.06110835075378,1417,False,None,0.5680301210411648,0.12165519960683849,0.14702350881183784,,,,,,,
generic,15,1001,438.65,43857.42500000008,438.5742500000008,73.4766616821289,1452,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,101,438.65,43850.97500000005,438.5097500000005,83.14642286300659,1460,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,1102,438.65,43843.55000000008,438.43550000000084,69.62822794914246,1374,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,202,438.65,43828.02500000008,438.2802500000008,78.38298344612122,1439,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,303,438.65,43848.05000000008,438.4805000000008,77.38846373558044,1411,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,404,438.65,43851.42500000009,438.5142500000009,65.5298388004303,1446,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,505,438.65,43833.425000000076,438.33425000000074,63.65243482589722,1425,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,606,438.65,43817.450000000004,438.1745,66.94742369651794,1405,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,707,438.65,43852.40000000008,438.5240000000008,70.52949166297913,1435,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,808,438.65,43852.475000000086,438.52475000000084,72.64018630981445,1452,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,15,909,438.65,43839.57500000009,438.39575000000093,73.9878180027008,1463,False,None,0.5919146623216983,0.11223440098559559,0.11121597431031567,,,,,,,
generic,16,1001,438.65,43858.62500000008,438.5862500000008,61.635213136672974,1579,False,None,0.6196668357827032,0.2436424236869603,0.19422921964155854,,,,,,,
generic,16,101,438.65,43855.17500000008,438.5517500000008,70.98830580711365,1576,False,None,0.6196668357827032,0.2436424236869603,0.19422921964155854,,,,,,,
generic,16,1102,438.65,43852.85000000009,438.5285000000009,58.913259983062744,1573,False,None,0.6196668357827032,0.2436424236869603,0.19422921964155854,,,,,,,
