algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,c1,c2,w,error
generic,51,1001,438.65,43848.725000000064,438.48725000000064,84.00225234031677,1800,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,101,438.65,43859.67500000008,438.59675000000084,65.48045468330383,1788,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,1102,438.65,43854.95000000008,438.54950000000076,67.84115672111511,1755,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,202,438.65,43851.42500000008,438.51425000000086,63.34469747543335,1744,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,303,438.65,43846.55000000009,438.46550000000093,66.53166007995605,1793,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,404,438.65,43860.42500000008,438.60425000000083,61.16355013847351,1710,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,505,438.65,43844.375000000095,438.44375000000093,61.757341623306274,1773,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,606,438.65,43849.850000000086,438.49850000000083,63.23762536048889,1761,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,707,438.65,43849.55000000009,438.4955000000009,68.94383597373962,1753,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,808,438.65,43855.025000000074,438.55025000000074,72.86559176445007,1768,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,51,909,438.65,43844.22500000009,438.4422500000009,83.63455963134766,1798,False,None,0.7188155371406459,0.25940523833793144,0.198375907084259,,,,,,,
generic,52,1001,438.65,43861.92500000008,438.6192500000008,54.4124391078949,1568,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,101,438.65,43855.92500000008,438.5592500000008,57.92428636550903,1493,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,1102,438.65,43856.75000000008,438.5675000000008,54.24770951271057,1505,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,202,438.65,43851.27500000008,438.51275000000084,55.060694456100464,1486,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,303,438.65,43849.700000000084,438.49700000000087,53.59930205345154,1465,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,404,438.65,43846.325000000084,438.46325000000087,54.08244228363037,1495,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,505,438.65,43853.37500000009,438.53375000000085,56.16078448295593,1519,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,606,438.65,43850.90000000008,438.5090000000008,53.789220333099365,1502,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,707,438.65,43856.450000000084,438.56450000000086,54.43933868408203,1479,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,808,438.65,43856.37500000009,438.5637500000009,56.36724829673767,1546,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,52,909,438.65,43852.77500000008,438.5277500000008,56.9423623085022,1517,False,None,0.46257268106993354,0.39392793490105493,0.04053444149009703,,,,,,,
generic,53,1001,438.65,43835.075000000055,438.3507500000006,53.893126010894775,1339,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,101,438.65,43834.47500000004,438.34475000000043,48.91158747673035,1365,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,1102,438.65,43849.850000000086,438.49850000000083,52.41803550720215,1356,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,202,438.65,43841.975000000086,438.4197500000009,48.91126608848572,1370,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,303,438.65,43852.700000000084,438.52700000000084,49.173933029174805,1368,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,404,438.65,43844.975000000086,438.44975000000085,52.53002905845642,1387,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,505,438.65,43850.075000000084,438.50075000000083,54.29535722732544,1377,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,606,438.65,43841.75000000008,438.4175000000008,56.608614921569824,1393,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,707,438.65,43856.600000000086,438.5660000000009,50.73702621459961,1352,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,808,438.65,43846.9250000001,438.46925000000095,48.93541216850281,1356,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,53,909,438.65,43847.07500000009,438.4707500000009,52.76312708854675,1366,False,None,0.4482876861237218,0.2952856508481528,0.181049203467924,,,,,,,
generic,54,1001,438.65,43860.42500000008,438.60425000000083,62.99302577972412,1686,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,101,438.65,43858.17500000008,438.58175000000085,63.529898166656494,1665,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,1102,438.65,43855.700000000084,438.55700000000087,65.25489449501038,1697,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,202,438.65,43838.975000000064,438.3897500000006,60.908244371414185,1683,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,303,438.65,43852.55000000008,438.5255000000008,61.773401498794556,1684,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,404,438.65,43857.425000000076,438.57425000000075,59.60451531410217,1642,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,505,438.65,43850.075000000084,438.50075000000083,61.17538905143738,1634,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,606,438.65,43855.25000000008,438.5525000000008,63.295875787734985,1671,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,707,438.65,43851.350000000086,438.5135000000009,66.16314673423767,1678,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,808,438.65,43861.17500000008,438.6117500000008,61.21266508102417,1646,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
generic,54,909,438.65,43848.575000000084,438.48575000000085,62.41583490371704,1682,False,None,0.6428642280417737,0.2745012870833964,0.12261130494100532,,,,,,,
